clubLabel,countryLabel,leagueLabel,venueLabel,coordinates,website
U.S. Lecce,Italy,Serie A,Stadio Via del Mare,Point(18.208889 40.365278),http://www.uslecce.it/
FC Augsburg,Germany,Bundesliga,WWK Arena,Point(10.8859261 48.3233205),https://fcaugsburg.de/
1. FC Nürnberg,Germany,2. Bundesliga,Max Morlock Stadium,Point(11.125617009 49.426240624),https://www.fcn.de/
FC Bayern Munich,Germany,Bundesliga,Allianz Arena,Point(11.624752777 48.218775),https://fcbayern.com
A.S. Casale Calcio,Italy,Lega Pro Seconda Divisione,Stadio Natale Palli,Point(8.4451282 45.13130153),http://www.casalefbc.it/
U.S.D. Novese,Italy,Serie D,Stadio Costante Girardengo,Point(8.7827971 44.7682128),http://www.novesecalcio.it/
A.C. Perugia Calcio,Italy,Serie B,Stadio Renato Curi,Point(12.357222 43.106111),https://www.acperugiacalcio.com
U.S. Alessandria Calcio 1912,Italy,Lega Pro Seconda Divisione,Stadio Giuseppe Moccagatta,Point(8.616580555 44.9203),http://www.alessandriacalcio.it/
Kashima Antlers,Japan,J1 League,Kashima Soccer Stadium,Point(140.640525 35.991744),http://www.so-net.ne.jp/antlers/
Clube de Regatas do Flamengo,Brazil,Campeonato Brasileiro Série A,Maracanã Stadium,Point(-43.230163888 -22.912166666),http://www.flamengo.com.br
FC Dinamo Moscow,Russia,Russian Premier League,VTB Arena,Point(37.5597 55.7914),http://fcdynamo.ru/
FC Dinamo Moscow,Soviet Union,Russian Premier League,VTB Arena,Point(37.5597 55.7914),http://fcdynamo.ru/
KAA Gent,Belgium,Belgian First Division A,Jules Ottenstadion,Point(3.766111 51.031389),http://www.kaagent.be/
F.C. United of Manchester,United Kingdom,Northern Premier League Premier Division,Broadhurst Park,Point(-2.1804 53.5167),http://www.fc-utd.co.uk/
Ashton United F.C.,United Kingdom,Northern Premier League,Hurst Cross Stadium,Point(-2.0797045 53.5013006),http://www.pitchero.com/clubs/ashtonunited/
Blyth Spartans A.F.C.,United Kingdom,Northern Premier League,Croft Park,Point(-1.5112 55.1209),http://www.blythspartansafc.co.uk/
Chorley F.C.,United Kingdom,Northern Premier League,"Victory Park, Chorley",Point(-2.62921 53.6455),http://www.chorleyfc.com/
Hednesford Town F.C.,United Kingdom,Northern Premier League Premier Division,Keys Park,Point(-1.98883 52.6976),http://www.hednesfordtownfc.com
Kendal Town F.C.,United Kingdom,Northern Premier League,Pye Motors Stadium,Point(-2.73652222 54.3204),http://www.kendaltown.com/
Stafford Rangers F.C.,United Kingdom,Northern Premier League Premier Division,Marston Road,Point(-2.116858 52.818542),https://www.staffordrangersfc.co.uk/
Witton Albion F.C.,United Kingdom,Northern Premier League Premier Division,Wincham Park,Point(-2.488717 53.270472),http://wittonalbionfc.89media.co.uk/
Farsley Celtic F.C.,United Kingdom,Northern Premier League Division One North,The Citadel,Point(-1.664214 53.809711),http://www.farsleyceltic.com/
Prescot Cables F.C.,United Kingdom,Northern Premier League,Valerie Park,Point(-2.80481 53.4319),http://www.prescotcables.co.uk/
Salford City F.C.,United Kingdom,National League North,Moor Lane,Point(-2.276777777 53.513638888),https://salfordcityfc.co.uk/
Skelmersdale United F.C.,United Kingdom,Northern Premier League,Valerie Park,Point(-2.80481 53.4319),https://www.pitchero.com/clubs/skelmersdaleunited/
Wakefield F.C.,United Kingdom,Northern Premier League,Belle Vue,Point(-1.479444 53.669722),http://www.wakefieldfc.com/
