,club,country,league,venue,coordinates,website,logoImage
0,U.S. Lecce,Italy,Serie A,Stadio Via del Mare,18.208889 40.365278,http://www.uslecce.it/,
1,FC Augsburg,Germany,Bundesliga,WWK Arena,10.8859261 48.3233205,https://fcaugsburg.de/,
2,1. FC Nürnberg,Germany,2. Bundesliga,Max Morlock Stadium,11.125617009 49.426240624,https://www.fcn.de/,http://commons.wikimedia.org/wiki/Special:FilePath/1.%20FC%20N%C3%BCrnberg%20logo.svg
3,FC Bayern Munich,Germany,Bundesliga,Allianz Arena,11.624752777 48.218775,https://fcbayern.com,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Bayern%20M%C3%BCnchen%20logo%20%282017%29.svg
4,A.S. Casale Calcio,Italy,Lega Pro Seconda Divisione,Stadio Natale Palli,8.4451282 45.13130153,http://www.casalefbc.it/,
5,U.S.D. Novese,Italy,Serie D,Stadio Costante Girardengo,8.7827971 44.7682128,http://www.novesecalcio.it/,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20centenario%20Novese.png
6,A.C. Perugia Calcio,Italy,Serie B,Stadio Renato Curi,12.357222 43.106111,https://www.acperugiacalcio.com,
7,U.S. Alessandria Calcio 1912,Italy,Lega Pro Seconda Divisione,Stadio Giuseppe Moccagatta,8.616580555 44.9203,http://www.alessandriacalcio.it/,
8,Kashima Antlers,Japan,J1 League,Kashima Soccer Stadium,140.640525 35.991744,http://www.so-net.ne.jp/antlers/,
9,Clube de Regatas do Flamengo,Brazil,Campeonato Brasileiro Série A,Maracanã Stadium,-43.230163888 -22.912166666,http://www.flamengo.com.br,
10,FC Dinamo Moscow,Russia,Russian Premier League,VTB Arena,37.5597 55.7914,http://fcdynamo.ru/,
11,KAA Gent,Belgium,Belgian First Division A,Jules Ottenstadion,3.766111 51.031389,http://www.kaagent.be/,
12,F.C. United of Manchester,England,Northern Premier League Premier Division,Broadhurst Park,-2.1804 53.5167,http://www.fc-utd.co.uk/,
13,Ashton United F.C.,England,Northern Premier League,Hurst Cross Stadium,-2.0797045 53.5013006,http://www.pitchero.com/clubs/ashtonunited/,
14,Blyth Spartans A.F.C.,England,Northern Premier League,Croft Park,-1.5112 55.1209,http://www.blythspartansafc.co.uk/,
15,Chorley F.C.,England,Northern Premier League,"Victory Park, Chorley",-2.62921 53.6455,http://www.chorleyfc.com/,
16,Hednesford Town F.C.,England,Northern Premier League Premier Division,Keys Park,-1.98883 52.6976,http://www.hednesfordtownfc.com,
17,Kendal Town F.C.,England,Northern Premier League,Pye Motors Stadium,-2.73652222 54.3204,http://www.kendaltown.com/,
18,Stafford Rangers F.C.,England,Northern Premier League Premier Division,Marston Road,-2.116858 52.818542,https://www.staffordrangersfc.co.uk/,
19,Witton Albion F.C.,England,Northern Premier League Premier Division,Wincham Park,-2.488717 53.270472,http://wittonalbionfc.89media.co.uk/,
20,Farsley Celtic F.C.,England,Northern Premier League Division One North,The Citadel,-1.664214 53.809711,http://www.farsleyceltic.com/,
21,Prescot Cables F.C.,England,Northern Premier League,Valerie Park,-2.80481 53.4319,http://www.prescotcables.co.uk/,
22,Salford City F.C.,England,National League North,Moor Lane,-2.276777777 53.513638888,https://salfordcityfc.co.uk/,
23,Skelmersdale United F.C.,England,Northern Premier League,Valerie Park,-2.80481 53.4319,https://www.pitchero.com/clubs/skelmersdaleunited/,
24,Wakefield F.C.,England,Northern Premier League,Belle Vue,-1.479444 53.669722,http://www.wakefieldfc.com/,
25,Leek Town F.C.,England,Northern Premier League,Harrison Park,-2.039742 53.109706,http://www.pitchero.com/clubs/leektown/,
26,Lincoln United F.C.,England,Northern Premier League,Ashby Avenue,-0.584167 53.210556,http://www.pitchero.com/clubs/lincolnunited/,
27,Northwich Victoria F.C.,England,Northern Premier League Division One South,Marston Road,-2.116858 52.818542,http://www.northwichvics.co.uk/,
28,AFC Telford United,England,National League North,New Bucks Head,-2.501336 52.697272,https://www.telfordunited.com/,
29,Alfreton Town F.C.,England,National League North,North Street,-1.3813 53.0945,https://www.alfretontownfootballclub.com/,
30,Barrow A.F.C.,England,EFL League Two,Holker Street,-3.235 54.123333333,https://www.barrowafc.com/,
