clubLabel,countryLabel,leagueLabel,logoImage,venueLabel,coordinates,website
1. FC Nürnberg,Germany,2. Bundesliga,http://commons.wikimedia.org/wiki/Special:FilePath/1.%20FC%20N%C3%BCrnberg%20logo.svg,Max Morlock Stadium,Point(11.125617009 49.426240624),https://www.fcn.de/
FC Bayern Munich,Germany,Bundesliga,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Bayern%20M%C3%BCnchen%20logo%20%282017%29.svg,Allianz Arena,Point(11.624752777 48.218775),https://fcbayern.com
U.S.D. Novese,Italy,Serie D,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20centenario%20Novese.png,Stadio Costante Girardengo,Point(8.7827971 44.7682128),http://www.novesecalcio.it/
Club Universitario de Deportes,Peru,Peruvian Primera División,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20oficial%20de%20Universitario.png,Estadio Monumental U,Point(-76.935972 -12.055694),https://universitario.pe/
Hull City A.F.C.,United Kingdom,EFL Championship,http://commons.wikimedia.org/wiki/Special:FilePath/T88.png,MKM Stadium,Point(-0.367777777 53.746111111),https://www.hullcitytigers.com/
Leicester City F.C.,United Kingdom,Premier League,http://commons.wikimedia.org/wiki/Special:FilePath/King%20power%20stadium.JPG,Leicester City Stadium,Point(-1.142222222 52.620277777),https://www.lcfc.com
Stade Rennais F.C.,France,Ligue 1,http://commons.wikimedia.org/wiki/Special:FilePath/Stade%20Rennais%20%28logo%201960%29.svg,Roazhon Park,Point(-1.71282 48.10743),http://www.staderennais.com
Montpellier Hérault Sport Club,France,Ligue 1,http://commons.wikimedia.org/wiki/Special:FilePath/Montpellier%20H%C3%A9rault%20Sport%20Club%20%28logo%2C%202000%29.svg,Stade de la Mosson,Point(3.81279 43.62061),http://www.mhscfoot.com/
AS Saint-Étienne,France,Ligue 2,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20AS%20Saint-%C3%89tienne.svg,Stade Geoffroy-Guichard,Point(4.390171 45.460749),https://www.asse.fr/
TSG 1899 Hoffenheim,Germany,Bundesliga,http://commons.wikimedia.org/wiki/Special:FilePath/TSG%20Logo-Standard%204c.png,Prezero-Arena,Point(8.888278 49.239),https://www.achtzehn99.de/
FC Utrecht,Netherlands,Eredivisie,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Utrecht.svg,Stadion Galgenwaard,Point(5.145833333 52.078333333),https://www.fcutrecht.nl/
VVV-Venlo,Netherlands,Eerste Divisie,http://commons.wikimedia.org/wiki/Special:FilePath/VVV%20Venlo.svg,De Koel,Point(6.179722 51.351944),https://www.vvv-venlo.nl/
Roda JC Kerkrade,Netherlands,Eerste Divisie,http://commons.wikimedia.org/wiki/Special:FilePath/Roda%20JC%20Kerkrade.svg,Parkstad Limburg Stadion,Point(6.005833333 50.856944444),https://www.rodajckerkrade.nl/
ADO Den Haag,Netherlands,Eerste Divisie,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20of%20ADO%20Den%20Haag%20on%20a%20poster%20%2817058468161%29.jpg,Bingoal Stadion,Point(4.383056 52.062778),https://adodenhaag.nl/
FC Zenit Saint Petersburg,Russia,Russian Premier League,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Zenit%201%20star%202015%20logo.svg,Gazprom Arena,Point(30.220533 59.972953),https://fc-zenit.ru/
A.C.R. Messina,Italy,Serie C,http://commons.wikimedia.org/wiki/Special:FilePath/ACRMessina.png,Stadio San Filippo,Point(15.520833 38.161389),https://www.acrmessina1900.it/
Tractor S.C.,Iran,Iran Pro League,http://commons.wikimedia.org/wiki/Special:FilePath/Tractor-logo.svg,Yadegar-e Emam Stadium,Point(46.295833 38.026667),https://www.tractor-club.com/
FC Schalke 04,Germany,Bundesliga,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Schalke%2004%20Logo.svg,Veltins-Arena,Point(7.067588888 51.554502777),https://schalke04.de/
Hannover 96,Germany,2. Bundesliga,http://commons.wikimedia.org/wiki/Special:FilePath/Hannover%2096%20Logo.svg,Niedersachsenstadion,Point(9.731111 52.36),https://www.hannover96.de
São Paulo FC,Brazil,Campeonato Brasileiro,http://commons.wikimedia.org/wiki/Special:FilePath/Brasao%20do%20Sao%20Paulo%20Futebol%20Clube.svg,Estádio do Morumbi,Point(-46.720155555 -23.600125),http://www.saopaulofc.net/
Borussia Dortmund,Germany,Bundesliga,http://commons.wikimedia.org/wiki/Special:FilePath/Borussia%20Dortmund%20logo.svg,Westfalenstadion,Point(7.451667 51.4925),https://www.bvb.de/
Once Caldas,Colombia,Categoría Primera A,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Once%20Caldas.png,Estadio Palogrande,Point(-75.489807 5.056233),http://www.oncecaldas.com.co/
F.C. Lorient,France,Ligue 1,http://commons.wikimedia.org/wiki/Special:FilePath/Lorientfc.jpg,Stade du Moustoir,Point(-3.36929 47.74869),http://www.fclweb.fr
Inter Milan,Italy,Serie A,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Internazionale%20Milano%202021.svg,Giuseppe Meazza Stadium,Point(9.123888888 45.478055555),https://www.inter.it/
Olympique Lyonnais,France,Ligue 1,http://commons.wikimedia.org/wiki/Special:FilePath/Lyon%20logo.png,Parc Olympique Lyonnais,Point(4.982131 45.765224),https://www.ol.fr/
Juventus FC,Italy,Serie A,http://commons.wikimedia.org/wiki/Special:FilePath/Juventus%20FC%202017%20icon%20%28black%29.svg,Allianz Stadium,Point(7.641247 45.109594),https://www.juventus.com/
Juventus FC,Italy,Serie A,http://commons.wikimedia.org/wiki/Special:FilePath/Juventus%20FC%202017%20icon%20%28white%29.svg,Allianz Stadium,Point(7.641247 45.109594),https://www.juventus.com/
U.C. Sampdoria,Italy,Serie A,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sampdoria.svg,Stadio Luigi Ferraris,Point(8.952428 44.416431),http://www.sampdoria.it/
AC Milan,Italy,Serie A,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20of%20AC%20Milan.svg,Giuseppe Meazza Stadium,Point(9.123888888 45.478055555),https://www.acmilan.com/
Catania F.C.,Italy,Serie D,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20CATANIA%20FC.svg,Stadio Angelo Massimino,Point(15.071389 37.515833),http://www.calciocatania.it
